age,p_init_tanning,p_halt_tanning
10,0.05,0.01
11,0.05,0.01
12,0.1,0.01
13,0.1,0.01
14,0.11,0.01
15,0.12,0.01
16,0.13,0.01
17,0.14,0.01
18,0.15,0.01
19,0.16,0.01
20,0.17,0.01
21,0.18,0.01
22,0.185,0.01
23,0.19,0.01
24,0.195,0.01
25,0.2,0.01
26,0.18,0.01
27,0.15,0.01
28,0.11,0.01
29,0.08,0.01
30,0.06,0.04
31,0.05,0.06
32,0.02,0.1
33,0.01,0.15
34,0.01,0.2
35,0.01,0.25
36,0.01,0.3
37,0.01,0.35
38,0.01,0.4
39,0.01,0.45
40,0.01,0.5
41,0.01,0.5
42,0.01,0.5
43,0.01,0.5
44,0.01,0.5
45,0.01,0.5
46,0.01,0.5
47,0.01,0.5
48,0.01,0.5
49,0.01,0.5
50,0.01,0.5
51,0.01,0.5
52,0.01,0.5
53,0.01,0.5
54,0.01,0.5
55,0.01,0.5
56,0.01,0.5
57,0.01,0.5
58,0.01,0.5
59,0.01,0.5
60,0.01,0.5
61,0.01,0.5
62,0.01,0.5
63,0.01,0.5
64,0.01,0.5
65,0.01,0.5
66,0.01,0.5
67,0.01,0.5
68,0.01,0.5
69,0.01,0.5
70,0,0.5
71,0,0.5
72,0,0.5
73,0,0.5
74,0,0.5
75,0,0.5
76,0,0.5
77,0,0.5
78,0,0.5
79,0,0.5
80,0,0.5
81,0,0.5
82,0,0.5
83,0,0.5
84,0,0.5
85,0,0.5
86,0,0.5
87,0,0.5
88,0,0.5
89,0,0.5
90,0,0.5
91,0,0.5
92,0,0.5
93,0,0.5
94,0,0.5
95,0,0.5
96,0,0.5
97,0,0.5
98,0,0.5
99,0,0.5
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0